epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.496,0.34326,0.92025,1,0.2343,0.00998371,0.0033279,0.00998371,0.0033279,0.00998371,0.0033279,0.00998371,0.0033279
2,222.799,0.30719,0.91395,1,0.26712,0.0189945,0.00633151,0.0189945,0.00633151,0.0189945,0.00633151,0.0189945,0.00633151
3,326.226,0.31055,0.90076,1,0.28882,0.0270153,0.00900511,0.0270153,0.00900511,0.0270153,0.00900511,0.0270153,0.00900511
4,423.182,0.31414,0.90183,1,0.30275,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,532.988,0.29707,0.91265,1,0.24519,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,636.395,0.28268,0.92477,1,0.22225,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,735.75,0.27653,0.92536,1,0.22132,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,866.237,0.27305,0.93392,1,0.20218,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,975.242,0.26939,0.92548,1,0.21507,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1110.37,0.26541,0.93404,1,0.19168,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1261.01,0.26029,0.9363,1,0.18732,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1384.03,0.25527,0.93927,1,0.18697,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,1486.33,0.25188,0.93701,1,0.18501,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,1595.05,0.24675,0.93986,1,0.17982,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,1716.44,0.24267,0.94081,1,0.17663,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,1853.43,0.23804,0.94248,1,0.17081,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,1986.59,0.23468,0.94224,1,0.16981,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,2122.35,0.23185,0.94153,1,0.17151,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,2252.5,0.22732,0.94105,1,0.17064,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,2383.87,0.2223,0.9426,1,0.16839,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
